Preguntas,Categoría,Respuesta
"Cómo es lo de elegir Especialidad II en Física, qué materias hay",Cursado,"Las materias de Especialidad II de Física en 2026 son:
- Electrónica para Laboratorios Experimentales de Investigación dictada por Peretti, Gabriela Marta y Romero, Eduardo Abel.
- Física Computacional dictada por Banchio, Adolfo Javier y Marconi, Verónica Iris.
- Imágenes por Resonancia Magnética con Acosta, Rodolfo Héctor.
- Introducción a la Información Cuántica con Majtey, Ana Paula.
- Introducción a la Radiobiología dicatada por Valente, Mauro Andrés.
- Relatividad Numérica dicatada por Carrasco, Federico León y Gallo, Emanuel.
- Segunda Cuantización por Osenda, Omar.
- Sistemas de Tiempo Real por Laprovitta, Agustín Miguel.

Siempre podés consultarlas en la Distribución Docente del correspondiente año:
https://share.google/qoDQXEpip0M9MOHmy (año 2026)"
Cuales son las materias de especialidad 1 de matematica,Cursado,"Las materias de Especialidad I de Matemática en 2026 son:
- Espacios de Lebesgue variables pesados y teoría de extrapolación dictada por Vallejos, Lucas Alejandro.
- Geometría Algebraica dictada por Sulca, Diego Armando.
- Introducción a las álgebras de Lie y sus representaciones con Cagliero, Leandro Roberto.
- Teoría de Modelos con Badano, Mariana Vanessa.

Siempre podés consultarlas en la Distribución Docente del correspondiente año:
https://share.google/qoDQXEpip0M9MOHmy (año 2026)"
¿Cuáles son las opciones de optativas II para la carrera de Matemática Aplicada?,Cursado,"Las materias de Optativa II de Matemática Aplicada en 2026 son:
- Introducción al Análisis de Series Temporales dictada por Flesia, Ana Georgina.

Siempre podés consultarlas en la Distribución Docente del correspondiente año:
https://share.google/qoDQXEpip0M9MOHmy (año 2026)"
¿Dónde me anoto para tener un casillero en FAMAF?,Información General,"Para solicitar el préstamo de uno de los 24 casilleros disponibles ubicados en el segundo piso de la Facultad las inscripciones se enceuntran abiertas desde el Lunes 2 de Marzo hasta el Viernes 13 de Marzo hasta las 14:00 hs mediante el siguiente formulario: https://tinyurl.com/2545b9xh.

Los resultados serán publicados el día 25 de Marzo y se dará inicio a las nuevas asignaciones el dia 4 de Abril.

Como requisito el alumno debe contar con una inscripción vigente al menos a una materia en el momento de la solicitud. Aquellos que cumplan los requisitos pero no accedan a un cupo inicial, integrarán una lista de espera con vigencia anual.

IMPORTANTE: entre el 25 de Marzo y el 3 de Abril, todos los inscriptos deberán presentarse en la SAE para notificarse. De no hacerlo, se perderá la vacante o el lugar en la lista de espera. Además, quienes resultan beneficiarios deberán proveer su propio candado y firmar el acuerdo de responsabilidad correspondiente."
¿Cómo solicitar mesa especial de examen? Necesito saber los requisitos,Exámenes,"Para rendir en una mesa especial, deben faltarte dos materias para egresar (es decir el Trabajo Especial y otra más; si egresas de Analista o del profesorado, se cuentan materias comunes).

Los/as estudiantes que adeuden hasta dos materias para egresar, podrán solicitar una fecha de examen hasta el 31 de Marzo de 2026."
"Quiero saber el trámite para obtener una mesa especial, cómo hago?",Exámenes,"Para rendir en época especial, deben faltarte dos materias para egresar (es decir el Trabajo Especial y otra más; si egresas de Analista o del profesorado, se cuentan materias comunes). 

El procedimiento es el siguiente: debes enviar una nota solicitando la fecha especial, firmada por vos y el docente encargado de la materia, por lo menos una semana antes de la fecha en la que quieras rendir, si la fecha especial es para rendir el Trabajo Especial, el procedimiento es otro. Debes tener en cuenta que si otro alumno ya se inscribió para esa materia en la época solicitada deben rendir el mismo día, es decir solo hay una mesa por época.

Este es el modelo de la nota que deben enviar firmada: https://drive.google.com/file/d/1nandgoClw138jBfMujEdwmc9MyJIJtkL"
La carrera de Profesorado en Física es presencial o a distancia?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
La carrera de Profesorado en Física es virtual?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
¿Cómo se cursa la Tecnicatura Universitaria en Matemática Aplicada?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
La Tecnicatura en Matemática Aplicada es virtual no,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Qué modalidad tiene la Tecnicatura Universitaria en Matemática Aplicada?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
La Tecnicatura Universitaria en Matemática Aplicada es online?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
vos sabés si la Licenciatura en Física es presencial?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
"La carrera de Física es online, verdad?",Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Astronomía licenciatura modalidad FAMAF,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Cómo es la modalidad de cursada de la Licenciatura en Astronomía online o presencial?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
¿Se puede estudiar la Licenciatura en Matemática de forma presencial en FAMAF?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
¿Es online la carrera de Matemática?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Cómo se cursa la Licenciatura en Física presencial o a distancia?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Cómo es la modalidad de cursada de la Licenciatura en Física? es virtual?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
"¿Cómo se cursa la Licenciatura en Ciencias de la Computación, presencial o a distancia?",Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Cursada a distancia de la Licenciatura en Ciencias de la Computación FAMAF,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
como es la cursada de la licenciatura en hidrometeorologia,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Se puede cursar la Licenciatura en Hidrometeorología sin ir a la FAMAF?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
como es la modalidad de cursada del profesorado en fisica,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
¿La carrera de Física para profesores es online o presencial?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
Vos sabés si hay carreras a distancia en FAMAF?,Ingreso,Las carreras de grado de FAMAF son presenciales. Solamente se puede cursar el curso de nivelación a distancia.
"Vos que sabés, si no rindo el cursillo de ingreso me puedo inscribir igual?",Ingreso,"El curso de nivelación de FAMAF no es eliminatorio, pero si cuenta como una materia más y es la primer correlativa para cualquier otra materia."
"Quiero reinscribirme en la propuesta anual, pasos por favor",Cursado,"Para realizar la reinscripción anual debes ingresar a Guaraní y en el inicio te saldrá un botón naranja que dice ""Reinscribirse""."
"Ya completé la preinscripción, ¿cuál es el próximo paso que debo seguir?",Ingreso,"Si ya tenes el comprobante de la preinscripción, lo único que queda es venir a clases y en la fecha correspondiente realizar la inscripción definitiva."
¿Cuánto tiempo med ura la regularidad en una materia,Cursado,La regularidad de una materia duran dos años y un turno de examen.
"Oyente en materias de famaf, requisitos",Cursado,"Para cursar una o un grupo de materias en un cuatrimestre sin cursar toda la carrera, puedes solicitar inscripción como alumno/a vocacional, siguiendo el siguiente instructivo: https://docs.google.com/document/d/1-hWXC3_v-rpXJdCudmUgQmSXCHofVRgFERWc_j7YOwg/edit?tab=t.0"
"Si no paso el examen de nivelación, que pasa?",Ingreso,"El curso de nivelación es una materia más y como tal, puede intentar volver a rendir en cualquier fecha de examen final. Incluso, podes empezar cursando las materias de una carrera como libre hasta que lo apruebes."
"Aún no terminé el colegio secundario, ¿Se puede hacer la preinscripción?",Ingreso,"Es posible hacer la preinscripción si aún no terminaste el secundario, para eso cuando te solociten la constancia de estudios secundarios finalizados, debes adjuntar el certificado de alumno regular."
"Quiero anotarme en una carrera para el 2026, donde consigo la info?",Ingreso,En el siguiente enlace podes encontrar información sobre la inscripción a carreras para el 2026: https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/preinscripcion/
Info sobre la carrera de Matemática UNC,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Astronomía licenciatura requisitos y plan de estudios,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Información sobre la carrera de Física FAMAF UNC,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Quiero saber detalles de la Licenciatura en Ciencias de la Computación FAMAF,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Licenciatura en Matemática Aplicada requisitos e información,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Dame toda la info de la Licenciatura en Hidrometeorología,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Quiero saber detalles de Profesorado en Matemática,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Quiero saber la infor de Profesorado en Física FAMAF,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Información de la carrera Analista en Computación,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Información sobre la carrera de Tecnicatura Universitaria en Matemática Aplicada,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
Quiero saber detalles de la carrera de Tecnicatura Universitaria en Astronomía,Ingreso,"En el siguiente enlace encontrarás toda la información sobre las carreras:
https://www.famaf.unc.edu.ar/academica/grado/"
"Materia sin cupos en ninguna comisión, cómo proceder para inscribirme?",Ingreso,"Los cupos a las materias se van abriendo a medida que se completan, aguarda unos minutos e intentalo nuevamente."
¿Hay alguna solución si no hice la preinscripción a tiempo o debo esperar otro año?,Ingreso,"El curso de nivelación de FAMAF tiene 3 ediciones:

- Curso de nivelación intensivo:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o a aquellas que no hayan completado el trámite de inscripción definitiva años anteriores (nuevxs ingresantes).
- Dictado: fines de enero y febrero de cada año
- Modalidad: intensiva y presencial. Se cursa de lunes a viernes, 4 hs por día, pudiendo optar por turno tarde (de 9 hs a 13 hs) o turno mañana (de 14 hs a 18 hs)
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximandamente a principios de noviembre estará la información)

- Re dictado del Curso de nivelación primer cuatrimestre:
- Destinado a: aquellas personas que hayan completado el trámite de inscripción definitiva en algún momento (estudiantes de FAMAF) y que no hayan aprobado el curso de nivelación en ediciones anteriores.
- Dictado: durante el primer cuatrimestre, consultar fechas exactas de Cursado en el Calendario Académico en el apartado ""Primer Cuatrimestre del año vigente - Grado y Posgrado"".
- Modalidad: no intensiva y presencial. Se cursa dos días por semana, 4 hs por día. Ver horarios en ""Horarios de cursada redictado"" en el siguiente enlace https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/horarios-de-cursado/.
- Inscripciones: Por Guaraní, a través de la pestaña ""Inscripción a materias"" durante el periodo de Inscripciones del apartado ""Primer Cuatrimestre año vigente - Grado y Posgrado"" del Calendario Académico.

- Curso de nivelación no intensivo para nuevxs ingresantes:
- Destinado a: aquellas personas que deseen ingresar por primera vez a la facultad o que no hayan aprobado el curso de nivelación en ediciones anteriores. Pueden estar cursando el último año del secundario.
- Dictado: de agosto a diciembre de cada año
- Modalidad: no intensiva, presencial o a distancia. 4 hs semanales, pudiendo optar por los días viernes de 16 hs a 20 hs o los días sábados de 9 hs a 13 hs.
- Preinscripciones: una vez definidos, fechas y requisitos serán publicados en famaf.unc.edu.ar/ingresantes (aproximadamente en junio de ese mismo año estará disponible la información).

Si no lograste inscribirte antes que cierre el plazo pero no comenzaron las clases todavía, puedes contactarte con despachoestudiantes@famaf.unc.edu.ar para ver si es posible realizar la inscripción aún."
¿Cuándo abren las inscripciones para el curso de ingreso no intensivo de FAMAF?,Ingreso,Las preinscripciones para el curso de nivelación no intensivo (para el ingreso 2027) se llevarán a cabo desde el 1 de Junio hasta el 3 de Julio y las clases comenzarán el 24 de Julio del 2026 hasta el 14 de Noviembre.
Procedimiento para hacer entrega de una computadora a la facultad,Información General,Para realizar una entrega de cualquier artefacto electrónico a nuestra facultad deberías ponerte en contacto con secext@famaf.unc.edu.ar para coordinar la entrega.
Procedimiento para entregar una impresora en la FAMAF,Información General,Para realizar una entrega de cualquier artefacto electrónico a nuestra facultad deberías ponerte en contacto con secext@famaf.unc.edu.ar para coordinar la entrega.
Procedimiento para hacer entrega de un monitor a la FAMAF,Información General,Para realizar una entrega de cualquier artefacto electrónico a nuestra facultad deberías ponerte en contacto con secext@famaf.unc.edu.ar para coordinar la entrega.
equivalencias utn famaf requisitos y pasos,Información General,"En caso de que desees ingresar a FAMAF desde otra factulad, tenés que iniciar un trámite por email y pedir equivalencias de materias.

La recepción de solicitudes es desde el 1 de agosto al 31 de octubre y el resultado será entregado a comienzos del año siguiente para que puedas comenzar en FAMAF en marzo del año siguiente (una vez que te llegue el correo de confirmación). 

Para las equivalencias de materias no hay una tabla fija, ás bien cada caso se evalúa con una Comision Asesora de Equivalencias, contando también el Curso de Nivelación como cualquier otra materia.

La documentación requerida para este trámite se deve enviar vía email a oficialia@famaf.unc.edu.ar y consiste de:
1. Documentación Académica:
  - Certificado Analítico Oficial con notas, fechas de aprobación y constancia de aplazos.
  - Certificado de sanciones disciplinarias, indicando si tuvise o no.
  - Certificado de cancelación de matrícula, solo si la carrera es de igual nombre.
  - Programas oficiales legalizados de las materias aprobadas, con carga horaria, contenidos, trabajos o laboratorios y bibliografía.
  - Escala de calificaciones de tu institución de origen.
  - Plan de estudios de la carrera que cursaste.
  - Resolución ministerial que de validez nacional a la carrera.

2. Documentación Personal
  - Certificado de estudios secundarios completos, legalizado por la Oficialía Mayor de la UNC (https://www.unc.edu.ar/oficialia-mayor).
  - DNI (frente y dorso).
  - Constancia de CUIL.

Además de una nota dirigida al decano junto con los requisitos, en el siguiente enlace podes encontrar un modelo orentativo: https://tinyurl.com/equivalencias-externas-FAMAF

IMPORTANTE:
- Si el estudiante ya es alumno de FAMAF, debe aclararlo en la nota y en ese caso, el trámite puede presentarse en cualquier día del año. 
- Si querés ingresar a dos o más carreras, tenes que hacer un trámite separado para cada carrera."
Cuanto cuesta hacer el curso de nivelacion de la famaf,Ingreso,El curso de nivelación es gratuito.
¿Cuál es el procedimiento para inscribirse en Analista en Computación cuando no aparece la carrera en Guaraní?,Ingreso,"Analista en computación es el título intermedio de la carrera Licenciatura en Ciencias de la Computación, por lo que deberías inscribirte en esa carrera para obtener el título intermedio que se brinda en tercer año. "
¿Cómo hago para anotarme en la Tecnicatura en Matemática Aplicada si no está en Guaraní?,Ingreso,"La Tecnicatura Universitaria en Matemática Aplicada es un título intermedio de la Licenciatura en Matemática Aplicada, por lo que deberías inscribirte en esa carrera para obtener este título intermedio que se brinda en tercer año."
Ayuda no encuentro la Tecnicatura en Astronomía en Guaraní para anotarme,Ingreso,"La Tecnicatura Universitaria en Astronomía es un título intermedio correspondiente a los tres primeros años de la Licenciatura en Astronomía, por lo que deberías inscribirte en esa carrera para obtener este título intermedio."
"Para anotarme en FAMAF, ¿la presinscripción es virtual o hay que ir físicamente?",Ingreso,El proceso de preinscripción se realiza de manera virtual.
